pF,VWC,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
1.098,44.71,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.123,44.43,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.146,44.15,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.17,43.88,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.197,43.61,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.224,43.35,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.251,43.08,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.274,42.82,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.295,42.57,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.318,42.31,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.34,42.04,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.362,41.76,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.385,41.47,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.405,41.2,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.423,40.93,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.442,40.64,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.467,40.31,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.493,39.96,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.519,39.59,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.545,39.23,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.57,38.88,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.598,38.52,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.627,38.14,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.658,37.75,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.687,37.37,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.712,37.01,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.736,36.67,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.756,36.36,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.778,36.05,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.803,35.7,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.834,35.31,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.867,34.9,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.902,34.47,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.939,34.04,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.978,33.61,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.021,33.17,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.064,32.74,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.106,32.32,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.144,31.94,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.178,31.59,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.211,31.24,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.25,30.86,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.295,30.43,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.347,29.94,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.409,29.4,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.476,28.86,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.537,28.37,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.589,27.93,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.639,27.51,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.689,27.08,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.733,26.68,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.772,26.32,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.813,25.96,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.86,25.56,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.915,25.09,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.983,24.56,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
3.625,19.77,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
5.73,6.45,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
5.66,6.8,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
5.06,9.6,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
5.35,8.08,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
4.83,10.77,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
4.27,14.98,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.413,35.68,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.436,35.67,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.476,35.67,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.528,35.66,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.585,35.65,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.642,35.64,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.698,35.62,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.753,35.6,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.802,35.58,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.816,35.55,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.799,35.52,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.791,35.49,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.856,35.45,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.943,35.4,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
0.979,35.36,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.006,35.31,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.041,35.25,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.081,35.2,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.113,35.14,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.143,35.08,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.181,35.02,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.178,34.96,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.148,34.89,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.166,34.83,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.202,34.76,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.159,34.69,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.159,34.61,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.237,34.54,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.284,34.46,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.299,34.37,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.323,34.29,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.347,34.19,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.34,34.1,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.352,34,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.376,33.91,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.396,33.82,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.416,33.72,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.441,33.61,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.457,33.51,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.47,33.4,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.492,33.29,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.512,33.19,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.531,33.09,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.551,33,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.568,32.9,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.585,32.8,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.603,32.7,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.618,32.6,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.632,32.49,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.648,32.39,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.665,32.27,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.684,32.15,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.704,32.02,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.724,31.88,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.742,31.74,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.764,31.59,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.79,31.43,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.815,31.26,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.839,31.09,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.861,30.93,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.882,30.77,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.906,30.59,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.931,30.4,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.953,30.2,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.978,30.01,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.005,29.83,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.027,29.65,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.049,29.47,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.071,29.28,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.094,29.09,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.115,28.9,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.137,28.71,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.158,28.52,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.178,28.34,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.198,28.15,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.217,27.98,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.235,27.83,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
